IdPaisProvincia,CodPaisProvincia,Provincia,IdPaisProvinciaMunicipio,CodPaisProvinciaMunicipio,Municipio
1,01,Álava,1,01001,Alegría-Dulantzi
1,01,Álava,2,01002,Amurrio
1,01,Álava,36,01049,Añana
1,01,Álava,3,01003,Aramaio
1,01,Álava,5,01006,Armiñón
1,01,Álava,28,01037,Arraia-Maeztu
1,01,Álava,6,01008,Arratzua-Ubarrundia
1,01,Álava,4,01004,Artziniega
1,01,Álava,7,01009,Asparrena
1,01,Álava,8,01010,Ayala/Aiara
1,01,Álava,9,01011,Baños de Ebro/Mañueta
1,01,Álava,10,01013,Barrundia
1,01,Álava,11,01014,Berantevilla
1,01,Álava,12,01016,Bernedo
1,01,Álava,13,01017,Campezo/Kanpezu
1,01,Álava,17,01021,Elburgo/Burgelu
1,01,Álava,18,01022,Elciego
1,01,Álava,19,01023,Elvillar/Bilar
1,01,Álava,42,01056,Harana/Valle de Arana
1,01,Álava,50,01901,Iruña Oka/Iruña de Oca
1,01,Álava,20,01027,Iruraiz-Gauna
1,01,Álava,15,01019,Kripan
1,01,Álava,16,01020,Kuartango
1,01,Álava,21,01028,Labastida/Bastida
1,01,Álava,22,01030,Lagrán
1,01,Álava,23,01031,Laguardia
1,01,Álava,24,01032,Lanciego/Lantziego
1,01,Álava,51,01902,Lantarón
1,01,Álava,25,01033,Lapuebla de Labarca
1,01,Álava,27,01036,Laudio/Llodio
1,01,Álava,44,01058,Legutiano
1,01,Álava,26,01034,Leza
1,01,Álava,29,01039,Moreda de Álava
1,01,Álava,30,01041,Navaridas
1,01,Álava,31,01042,Okondo
1,01,Álava,32,01043,Oyón-Oion
1,01,Álava,33,01044,Peñacerrada-Urizaharra
1,01,Álava,34,01046,Ribera Alta
1,01,Álava,35,01047,Ribera Baja/Erribera Beitia
1,01,Álava,37,01051,Salvatierra/Agurain
1,01,Álava,38,01052,Samaniego
1,01,Álava,39,01053,San Millán/Donemiliaga
1,01,Álava,40,01054,Urkabustaiz
1,01,Álava,41,01055,Valdegovía/Gaubea
1,01,Álava,43,01057,Villabuena de Álava/Eskuernaga
1,01,Álava,45,01059,Vitoria-Gasteiz
1,01,Álava,46,01060,Yécora/Iekora
1,01,Álava,47,01061,Zalduondo
1,01,Álava,48,01062,Zambrana
1,01,Álava,14,01018,Zigoitia
1,01,Álava,49,01063,Zuia
2,02,Albacete,52,02001,Abengibre
2,02,Albacete,53,02002,Alatoz
2,02,Albacete,54,02003,Albacete
2,02,Albacete,55,02004,Albatana
2,02,Albacete,56,02005,Alborea
2,02,Albacete,57,02006,Alcadozo
2,02,Albacete,58,02007,Alcalá del Júcar
2,02,Albacete,59,02008,Alcaraz
2,02,Albacete,60,02009,Almansa
2,02,Albacete,61,02010,Alpera
2,02,Albacete,62,02011,Ayna
2,02,Albacete,63,02012,Balazote
2,02,Albacete,64,02013,Balsa de Ves
2,02,Albacete,66,02015,Barrax
2,02,Albacete,67,02016,Bienservida
2,02,Albacete,68,02017,Bogarra
2,02,Albacete,69,02018,Bonete
2,02,Albacete,71,02020,Carcelén
2,02,Albacete,72,02021,Casas de Juan Núñez
2,02,Albacete,73,02022,Casas de Lázaro
2,02,Albacete,74,02023,Casas de Ves
2,02,Albacete,75,02024,Casas-Ibáñez
2,02,Albacete,76,02025,Caudete
2,02,Albacete,77,02026,Cenizate
2,02,Albacete,80,02029,Chinchilla de Monte-Aragón
2,02,Albacete,78,02027,Corral-Rubio
2,02,Albacete,79,02028,Cotillas
2,02,Albacete,65,02014,El Ballestero
2,02,Albacete,70,02019,El Bonillo
2,02,Albacete,81,02030,Elche de la Sierra
